song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
7kbOwsTp2Uqm1scjRPiVt4,"PUSH & PULL (JIHYO, SANA, DAHYUN)",TWICE,Formula of Love: O+T=<3,205466,11,19843777,74,81,12/11/2021,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
1bXM8imxd31qCecbHgSk9E,"HELLO (NAYEON, MOMO, CHAEYOUNG)",TWICE,Formula of Love: O+T=<3,183213,12,19843777,74,81,12/11/2021,3/4/2024,56,"['k-pop', 'k-pop girl group', 'pop']"
6bS9w12VuyaqkbNKnw5zZE,"1, 3, 2 (JEONGYEON, MINA, TZUYU)",TWICE,Formula of Love: O+T=<3,198453,13,19843777,74,81,12/11/2021,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
53Abp3QVXDA9z1VmJsOBXm,CANDY,TWICE,Formula of Love: O+T=<3,195053,14,19843777,74,81,12/11/2021,3/4/2024,54,"['k-pop', 'k-pop girl group', 'pop']"
308Ir17KlNdlrbVLHWhlLe,The Feels,TWICE,Formula of Love: O+T=<3,198053,15,19843777,74,81,12/11/2021,3/4/2024,73,"['k-pop', 'k-pop girl group', 'pop']"
3uazfRfe8P0L6j82EnHjOW,SCIENTIST (R3HAB Remix),TWICE,Formula of Love: O+T=<3,208780,16,19843777,74,81,12/11/2021,3/4/2024,45,"['k-pop', 'k-pop girl group', 'pop']"
0iuZMy88H6vxDA2oaJNhJg,Perfect World,TWICE,Perfect World,182680,1,19843777,62,81,28/7/2021,3/4/2024,61,"['k-pop', 'k-pop girl group', 'pop']"
1Wrn6btrungVsBjyViLnuY,BETTER,TWICE,Perfect World,223666,2,19843777,62,81,28/7/2021,3/4/2024,52,"['k-pop', 'k-pop girl group', 'pop']"
4rZ6LHapeH1Cnxgvu8SrFK,Good at Love,TWICE,Perfect World,231233,3,19843777,62,81,28/7/2021,3/4/2024,48,"['k-pop', 'k-pop girl group', 'pop']"
3uqAI1vTwmFuGbLoYSjZHz,Fanfare,TWICE,Perfect World,220240,4,19843777,62,81,28/7/2021,3/4/2024,51,"['k-pop', 'k-pop girl group', 'pop']"
3sroak7dIqGRGmC6VQVDtg,Kura Kura,TWICE,Perfect World,227746,5,19843777,62,81,28/7/2021,3/4/2024,53,"['k-pop', 'k-pop girl group', 'pop']"
4kfWbVi5ND1FOUoN6LK5Es,Four-leaf Clover,TWICE,Perfect World,227653,6,19843777,62,81,28/7/2021,3/4/2024,46,"['k-pop', 'k-pop girl group', 'pop']"
04LlwbQp31hLQ6meYbP19t,In the summer,TWICE,Perfect World,210953,7,19843777,62,81,28/7/2021,3/4/2024,45,"['k-pop', 'k-pop girl group', 'pop']"
