song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,genres,days_diff,popularity
4DBLBCVLDOmJwRysidmjHL,I DO,(G)I-DLE,HEAT,190113,1,8777390,63,77,2023-10-05,['k-pop girl group'],180.0,55
6SePnvTZkIXZznc8Ftc6vM,I DO,(G)I-DLE,I DO,190113,1,8777390,60,77,2023-07-13,['k-pop girl group'],264.0,66
34pKV56b6d7Nz1l6av1nZ1,I Want That,(G)I-DLE,HEAT,171666,2,8777390,63,77,2023-10-05,['k-pop girl group'],180.0,62
7uyeEbG6hyApgXuEypGcsZ,Baddie,IVE,I'VE MINE,154360,2,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,77
6TNx6kHZeVDByUNMVxkAfa,Off The Record,IVE,I'VE MINE,188733,1,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,59
5c1EubDxHdulbausF5CpX5,Either Way,IVE,I'VE MINE,166946,3,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,57
5q288Nbf39kqh2HtI2H2op,Holy Moly,IVE,I'VE MINE,176760,4,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,60
0ANTnEM0En14CMHPxs0MZj,OTT,IVE,I'VE MINE,157186,5,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,60
1RYK0mKtwjWaNLe7Mi6jYN,Payback,IVE,I'VE MINE,188213,6,3848533,73,74,2023-10-13,['k-pop girl group'],172.0,56
3G7MgLuWLzUJQflWOCDZit,Off The Record,IVE,Off The Record,188733,1,3848533,66,74,2023-10-06,['k-pop girl group'],179.0,72
1Xnha5ko8j7yY8O3ATe0Vs,I WANT,IVE,I WANT,180626,1,3848533,57,74,2023-07-13,['k-pop girl group'],264.0,63
2FNgoGLkE4AAOtYkQfiVL4,WAVE,IVE,WAVE,175893,1,3848533,54,74,2023-05-09,['k-pop girl group'],329.0,61
7foeH2Emgq8A3LWk3q6dat,Kitsch,IVE,I've IVE,195440,3,3848533,77,74,2023-04-10,['k-pop girl group'],358.0,71
3aAnwyBJY9OLNLqSgd4fZU,Deja Vu,TOMORROW X TOGETHER,minisode 3: TOMORROW,171427,3,9732198,0,77,2024-04-01,"['k-pop', 'k-pop boy group']",2.0,0
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,BABYMONS7ER,170356,2,846819,65,65,2024-04-01,"['k-pop', 'korean pop']",2.0,63
6qmGitkEMN6TVM5Cc25W47,Renegade,LUCAS,Renegade - The 1st Single,193698,1,133018,0,27,2024-04-01,"['k-pop', 'korean pop']",2.0,0
52rdnAZoYsEbguqMwCOeLi,Officially Cool,BANG YEDAM,Officially Cool,177253,1,294895,0,46,2024-04-02,"['k-pop', 'korean pop']",1.0,0
1ukIcsvbaFhtsKmvJPAyMZ,Propose,Lee Mujin,Propose,262920,1,177648,0,53,2024-04-02,"['k-pop', 'korean pop']",1.0,0
39gaUtq2z4ejJbno7tWHbL,T.B.H,QWER,1st Mini Album 'MANITO',175880,1,28620,0,41,2024-04-01,"['k-pop', 'korean pop']",2.0,0
1V0478T1XlRyAzBWkcWaCK,Your Traces,BEN,"The Midnight Studio, Pt. 4 (Original Soundtrack)",223680,1,96571,0,47,2024-04-02,['korean pop'],1.0,0
3Y8nGonlGlKftcLUW5zmKY,All new year (feat. LIL GIMCHI),northfacegawd,Time To Glo 1,181250,1,6231,0,26,2024-04-02,"['k-rap', 'korean underground rap']",1.0,0
